,p,PL BIC,TPL BIC,Exp BIC,PL expo,Exp trunc,TPL expo,TPL trunc
1,0.5,191471.6548,185162.6279,198944.3122,1.669963645,0.212333233,1.153282722,0.050724773
2,0.505,597675.2245,581697.0871,641460.7636,1.648868896,0.179864901,1.237981427,0.032683117
3,0.51,769558.1718,753231.9281,855319.1642,1.636290052,0.154886743,1.310761678,0.021165629
4,0.52,835690.8532,824597.901,1000122.45,1.612357328,0.110958986,1.40702401,0.008587613
5,0.53,742222.5586,739244.9104,977262.1555,1.612210581,0.080446011,1.611748415,0.001415486
6,0.535,665905.0494,0,934272.1813,1.623633969,0.06810206,0,0
7,0.54,587040.6446,586080.841,883110.2058,1.642286325,0.058137093,1.64217715,0.000412614
8,0.55,416755.2599,416700.379,756570.0752,1.715319133,0.041350608,1.713688254,1.49E-08
9,0.56,282295.7704,0,639118.7481,1.830419633,0.030116843,0,0
