"","p","PL BIC","TPL BIC","Exp BIC","PL expo","Exp trunc","TPL expo","TPL trunc"
"1",0.282,9978.52255249288,9959.31982417021,13841.3776381381,1.57183293435696,0.0522059983612235,1.57158558442537,0.000905417083513992
"2",0.2825,26298.2409431231,26194.2080166725,37644.5211073449,1.56167047560792,0.0430339016415694,1.48272120957357,0.00118356243773806
"3",0.283,53875.7253022167,53729.2329155919,81115.7815704445,1.58081802918388,0.0396476557917531,1.52973163512755,0.000570714301464401
"4",0.2835,89464.3299250728,89451.0364980517,144730.03959338,1.60170992093541,0.0335054729943249,1.59872866734252,1.49011611938477e-08
"5",0.284,120805.066198354,120791.025135579,217325.882556786,1.64320483642741,0.0275368961876407,1.64082527531436,1.49011611938477e-08
"6",0.2845,141381.714660857,141371.184823989,280412.466756654,1.68590224289256,0.0232281194765125,1.68401294615248,1.49011611938477e-08
"7",0.285,139839.705078062,139838.617874786,314861.588910968,1.74772317184613,0.0188348453049093,1.74632650295303,1.49011611938477e-08
