"","p","PL BIC","Exp BIC","TPL BIC","PL expo","Exp trunc","TPL expo","TPL trunc"
"1",0.282,48220249.0418492,63661037.6841195,48215897.2457029,2.08286932005532,0.127588655508183,2.07603197190161,0.000181482139620415
"2",0.2825,87876198.3195824,122789296.710658,87835700.0848573,2.05867338268585,0.100568449804934,2.0503809704506,1.49011611938477e-08
"3",0.283,132703811.428863,192526212.540098,132638109.499815,2.04640066429595,0.085844396290979,2.03761343077405,1.49011611938477e-08
"4",0.2835,183081453.812403,282488763.295131,182984745.055463,2.03530093647355,0.0667943185599765,2.02604170034453,1.49011611938477e-08
"5",0.284,233095997.889396,392511389.708638,232970732.044595,2.03234353337439,0.0471718686587098,2.02295445988798,1.49011611938477e-08
"6",0.2845,271438432.208979,492052869.033767,271308218.006669,2.05180084311406,0.0368850700734619,2.04323475512042,1.49011611938477e-08
"7",0.285,282687221.649899,521208709.508739,282590824.546923,2.11034395235894,0.0412716171468784,2.10385531717302,1.49011611938477e-08
