,p,PL BIC,TPL BIC,Exp BIC,PL expo,Exp trunc,TPL expo,TPL trunc
1,300,383344.1551,378371.3554,388241.1456,3.013419572,1.505635391,2.025570196,0.448566383
2,400,940898.1812,925544.4313,964697.5552,2.471055388,0.971036019,1.74030061,0.247655196
3,500,1423491.178,1401836.097,1503841.323,2.158738207,0.636410434,1.666751197,0.115753143
4,600,1661005.254,1640938.347,1841943.412,1.953558922,0.404915263,1.641079421,0.046493776
5,700,1555992.07,1544894.211,1877443.659,1.821942503,0.241179579,1.656926224,0.013339402
6,770,1260352.633,0,1697762.1,1.777432106,0.15550047,0,0
7,800,1103389.723,0,1577190.052,1.768631124,0.126071247,0,0
8,850,826246.2127,826158.9382,1338376.128,1.775286969,0.086220475,1.774079391,1.49E-08
9,900,561155.0335,561114.4082,1066097.848,1.807431794,0.055757846,1.806385815,1.49E-08
