,p,PL BIC,Exp BIC,TPL BIC,PL expo,Exp trunc,TPL expo,TPL trunc
1,300,52384776.63,52343387.6,52025794.31,4.758454094,1.609151831,2.6255691,0.70152695
2,400,354023906.8,358360695.2,351927185.6,3.629743897,1.032977756,2.583651816,0.278573774
3,500,1101305160,1142902738,1096323937,2.897643317,0.636964725,2.396197182,0.096116322
4,600,2319310612,2509019933,2311565994,2.394334236,0.358401837,2.153084606,0.027959574
5,700,3674603007,4235938848,3665638028,2.053542268,0.177368531,1.932264418,0.006831906
6,770,4235159883,5253826612,4228558611,1.898855922,0.097585981,1.843271598,0.001474579
7,800,4227520368,5484473300,4221213963,1.857912608,0.073830474,1.836782844,1.49E-08
8,850,3888284475,5416968939,3881045273,1.820320107,0.049465719,1.795211652,1.49E-08
9,900,3056460413,4033015733,3051703103,1.850695418,0.067789709,1.828853118,1.49E-08
